objectid,codbarrio,nombre,coddistbar,coddistrit,barrio_unique_id,barrio_name_norm,green_spaces_count,green_area_total_m2,complaints_total,complaints_most_frequent_tema,complaints_most_frequent_tema_count,complaints_by_neighbourhood,noise_mean,noise_max,noise_intersection_area_m2,noise_area_weighted_mean,green_score,low_noise_score,low_complaints_score,urban_quality_index,urban_quality_rank,green_rank,noise_rank,complaints_rank,cluster,cluster_label
30,002,CABANYAL-CANYAMELAR,112,11,30,CABANYAL-CANYAMELAR,23,100775.75948281962,1776,Servicios de limpieza en la vía pública,361,1776,3.235294117647059,6,1151249.996973459,2.53184859505634,26.71565621555491,57.34099838466092,37.37658674188998,39.101538024187235,58,15,25,79,2,Low-comfort neighbourhoods
137,005,LA CARRASCA,135,13,137,LA CARRASCA,25,114805.52888780998,372,Servicios de jardinería,62,372,3.4444444444444446,6,1644363.9319294444,2.6687485167418017,30.434948415690915,52.435773693865144,86.88293370944993,53.969591587270884,15,13,37,24,3,Low-green comfort areas
585,003,LA MALVA-ROSA,113,11,585,LA MALVA-ROSA,17,69911.07710329487,1984,Servicios prestados en vía pública,394,1984,3.230769230769231,6,670108.2942494579,2.494158941683143,18.53342818884128,58.69144633260428,30.042313117066286,34.03349911043768,75,30,23,82,2,Low-comfort neighbourhoods
27,004,LA VEGA BAIXA,134,13,27,LA VEGA BAIXA,9,19875.322195649227,584,Servicios de limpieza en la vía pública,104,584,3.5454545454545454,6,171001.83567292252,3.0498597155460434,5.268948382799092,38.78027967095024,79.40761636107193,37.56394816272629,65,63,67,42,3,Low-green comfort areas
43,001,AIORA,121,12,43,AIORA,19,61604.25307047517,1303,Servicios de limpieza en la vía pública,260,1303,3.25,6,512669.2583378047,2.215122422466113,16.331288941835613,68.68952965395098,54.05500705218618,43.35587658857539,39,32,14,71,2,Low-comfort neighbourhoods
76,002,CIUTAT JARDI,132,13,76,CIUTAT JARDI,22,76953.82075403558,1531,Contaminación acústica,401,1531,3.4545454545454546,6,349591.52622301696,2.8722182529143896,20.400459696746186,45.14530368178866,46.015514809590975,35.508429426112365,72,25,53,76,2,Low-comfort neighbourhoods
62,005,NATZARET,115,11,62,NATZARET,14,140635.83050195666,524,Servicios de limpieza en la vía pública,120,524,2.6666666666666665,5,706503.479705937,1.5726252345154856,37.282561982773785,91.71067554871121,81.52327221438645,66.8832091220388,2,9,7,35,0,Quiet low-complaint areas
74,006,LA PUNTA,106,10,74,LA PUNTA,13,125394.33023611284,504,Vía pública reparación de deficiencias,88,504,3.1904761904761907,6,5677823.8639108,2.612792033245263,33.242039902848504,54.44073557461745,82.22849083215797,54.297583883172024,14,11,31,33,3,Low-green comfort areas
75,001,EL GRAU,111,11,75,EL GRAU,17,71892.26838603376,1082,Servicios de limpieza en la vía pública,223,1082,2.7916666666666665,6,4569698.840302703,2.47642588954532,19.058642044619063,59.326834608351234,61.84767277856135,43.9758090339214,37,29,22,67,3,Low-green comfort areas
49,001,RUSSAFA,021,2,49,RUSSAFA,13,98215.27741893462,2659,Servicios prestados en vía pública,499,2659,3.3076923076923075,6,722151.3486581596,2.939901614559417,26.036872360033502,42.720159148396974,6.241184767277858,25.10315211871585,86,19,62,87,2,Low-comfort neighbourhoods
45,003,LA GRAN VIA,023,2,45,LA GRAN VIA,9,87893.4979746524,757,Servicios de limpieza en la vía pública,125,757,3.4444444444444446,6,390527.4300423695,3.2025821043520843,23.30056838592914,33.30812436811593,73.30747531734838,41.30490726001095,47,21,78,49,3,Low-green comfort areas
52,001,MONTOLIVET,101,10,52,MONTOLIVET,14,56840.74362211952,1462,Servicios de limpieza en la vía pública,321,1462,3.2,6,410632.6505309918,2.697845325478637,15.068482474735628,51.393213677160304,48.44851904090268,35.97991280531315,70,35,40,75,2,Low-comfort neighbourhoods
220,004,LA FONTSANTA,074,7,220,LA FONTSANTA,7,42982.94527149318,226,Servicios prestados en vía pública,68,226,3.5,6,285410.35119778,2.690504285371198,11.394779805167234,51.656248533190876,92.03102961918195,47.66409536777874,25,43,39,11,3,Low-green comfort areas
89,003,VARA DE QUART,083,8,89,VARA DE QUART,16,48008.57967608162,563,Servicios de jardinería,108,563,3.4615384615384617,6,971317.6469395014,3.394356703263544,12.72707560434639,26.436699709384044,80.14809590973202,37.066268927473374,67,42,83,40,3,Low-green comfort areas
48,001,PATRAIX,081,8,48,PATRAIX,15,34405.890685250226,2306,Servicios de limpieza en la vía pública,439,2306,3.272727272727273,6,523479.9808036587,2.621206137487909,9.121002432076041,54.139252042897226,18.68829337094499,25.496664596983077,85,46,32,84,2,Low-comfort neighbourhoods
46,003,TRES FORQUES,073,7,46,TRES FORQUES,11,74152.63001921753,1265,Servicios prestados en vía pública,366,1265,3.6,6,477880.7708018291,2.6670130173347464,19.657863966883642,52.497957911631964,55.394922425952046,40.23100968802866,53,28,36,70,2,Low-comfort neighbourhoods
217,001,NOU MOLES,071,7,217,NOU MOLES,18,98512.6156554083,1777,Servicios de limpieza en la vía pública,393,1777,3.4375,6,651686.3788143875,2.876157886572724,26.115696733534993,45.00414371576652,37.34132581100141,35.14991955144438,73,18,54,80,2,Low-comfort neighbourhoods
218,002,SOTERNES,072,7,218,SOTERNES,10,32714.90586294317,348,Vía pública reparación de deficiencias,51,348,3.4,6,215850.42255794737,3.299287721414674,8.672722315802861,29.84309111817778,87.72919605077574,38.7407750770072,61,47,80,20,3,Low-green comfort areas
219,005,LA LLUM,075,7,219,LA LLUM,8,22605.37140251793,400,Contaminación acústica,71,400,3.625,6,163219.63288619666,2.8852329216793047,5.992684491924488,44.67897854600906,85.89562764456981,41.56945565394346,46,59,56,26,3,Low-green comfort areas
169,004,SANT PAU,044,4,169,SANT PAU,33,377216.1112933621,1243,Servicios de limpieza en la vía pública,206,1243,3.294117647058824,6,3111497.485482205,2.82470571343844,100.0,46.847712849671964,56.170662905500706,70.90551272655179,1,1,49,69,1,Green but pressured areas
28,003,LA PETXINA,033,3,28,LA PETXINA,10,59984.562770507735,1758,Servicios prestados en vía pública,341,1758,3.3846153846153846,6,414208.9005931626,2.8140104449713528,15.901909005116051,47.23093217013281,38.01128349788434,31.933428302451567,80,33,47,78,2,Low-comfort neighbourhoods
20,001,CAMPANAR,041,4,20,CAMPANAR,34,172254.94803253212,1435,Servicios prestados en vía pública,331,1435,3.5,6,892594.9299350237,2.93074976988705,45.664790785823286,43.04807646128167,49.400564174894214,46.000508505182076,27,7,61,73,1,Green but pressured areas
19,002,LES TENDETES,042,4,19,LES TENDETES,11,55236.7599867822,556,Vía pública reparación de deficiencias,101,556,3.8,6,222191.2548118672,2.825363977007329,14.64326637517993,46.82412678277424,80.39492242595205,44.023021312689856,34,36,50,38,3,Low-green comfort areas
64,005,CAMI REAL,095,9,64,CAMI REAL,12,98916.84901252353,480,Servicios prestados en vía pública,97,480,3.5384615384615383,6,1465495.979669178,3.79032904134704,26.222859006039535,12.248720156686005,83.07475317348378,39.08618560146675,59,16,87,32,3,Low-green comfort areas
