objectid,codbarrio,nombre,coddistbar,coddistrit,barrio_unique_id,barrio_name_norm,green_spaces_count,green_area_total_m2,complaints_total,complaints_most_frequent_tema,complaints_most_frequent_tema_count,complaints_by_neighbourhood,noise_mean,noise_max,noise_intersection_area_m2,noise_area_weighted_mean
52,001,MONTOLIVET,101,10,52,MONTOLIVET,14,56840.743622119524,1462,Servicios de limpieza en la vía pública,321,1462,3.2,6,410632.6505309918,2.697845325478637
220,004,LA FONTSANTA,074,7,220,LA FONTSANTA,7,42982.94527149318,226,Servicios prestados en vía pública,68,226,3.5,6,285410.35119778,2.690504285371198
89,003,VARA DE QUART,083,8,89,VARA DE QUART,16,48008.57967608162,563,Servicios de jardinería,108,563,3.4615384615384617,6,971317.6469395014,3.394356703263544
48,001,PATRAIX,081,8,48,PATRAIX,15,34405.890685250226,2306,Servicios de limpieza en la vía pública,439,2306,3.272727272727273,6,523479.9808036587,2.621206137487909
46,003,TRES FORQUES,073,7,46,TRES FORQUES,11,74152.63001921753,1265,Servicios prestados en vía pública,366,1265,3.6,6,477880.7708018291,2.6670130173347464
217,001,NOU MOLES,071,7,217,NOU MOLES,18,98512.6156554083,1777,Servicios de limpieza en la vía pública,393,1777,3.4375,6,651686.3788143875,2.8761578865727238
218,002,SOTERNES,072,7,218,SOTERNES,10,32714.905862943175,348,Vía pública reparación de deficiencias,51,348,3.4,6,215850.42255794737,3.299287721414674
219,005,LA LLUM,075,7,219,LA LLUM,8,22605.371402517932,400,Contaminación acústica,71,400,3.625,6,163219.63288619666,2.8852329216793047
169,004,SANT PAU,044,4,169,SANT PAU,33,377216.1112933621,1243,Servicios de limpieza en la vía pública,206,1243,3.2941176470588234,6,3111497.485482205,2.82470571343844
28,003,LA PETXINA,033,3,28,LA PETXINA,10,59984.562770507735,1758,Servicios prestados en vía pública,341,1758,3.3846153846153846,6,414208.9005931626,2.8140104449713528
20,001,CAMPANAR,041,4,20,CAMPANAR,34,172254.94803253212,1435,Servicios prestados en vía pública,331,1435,3.5,6,892594.9299350237,2.93074976988705
19,002,LES TENDETES,042,4,19,LES TENDETES,11,55236.7599867822,556,Vía pública reparación de deficiencias,101,556,3.8,6,222191.25481186717,2.825363977007329
64,005,CAMI REAL,095,9,64,CAMI REAL,12,98916.84901252351,480,Servicios prestados en vía pública,97,480,3.5384615384615383,6,1465495.979669178,3.79032904134704
60,005,FAVARA,085,8,60,FAVARA,4,21001.314268862137,341,Servicios de limpieza en la vía pública,71,341,3.375,6,248776.28579689292,2.6662906349203292
58,002,SANT ISIDRE,082,8,58,SANT ISIDRE,7,48598.704407969155,601,Servicios de jardinería,123,601,3.5,6,480117.8455199842,3.6967048861797704
61,002,L'HORT DE SENABRE,092,9,61,L'HORT DE SENABRE,12,25026.216720823904,837,Vía pública reparación de deficiencias,154,837,3.272727272727273,6,358158.1919621755,2.551577152706196
